year,month,total_words,positive,negative,strong,weak,active,passive,sentiment_score,famine_terms,grain_terms,processed_grain_terms,livestock_terms,potato_terms,hay_terms
1835,2,2755379,119210,52762,174711,32360,113127,62800,1.91%,438,443,7,31,31,25
1835,4,682688,29447,12898,42670,8248,27521,15628,1.89%,112,206,1,14,4,7
1835,6,675233,28471,13079,41542,8284,27700,15563,1.94%,92,151,2,11,3,8
1835,8,941720,39213,18297,59023,11092,38179,20910,1.94%,187,70,4,6,24,8
1835,10,105379,4814,1818,6543,1062,4159,2407,1.73%,6,0,0,0,0,2
1836,2,2905052,124686,56395,189501,33276,120898,66431,1.94%,432,388,19,25,9,83
1836,4,762772,31855,14535,50375,8520,31858,17431,1.91%,86,151,16,9,4,22
1836,6,737581,31523,14629,48212,8936,31366,16587,1.98%,142,69,1,13,3,23
1836,8,580374,24146,10814,35727,6783,23173,13201,1.86%,100,36,2,3,2,28
1837,2,2720104,117878,56206,174656,34021,115993,64610,2.07%,824,340,39,47,18,37
1837,4,714205,30988,15358,48759,8803,29988,16269,2.15%,175,215,15,9,5,21
1837,6,489169,21734,9709,31370,6217,20656,11539,1.98%,210,68,17,8,1,5
1837,8,65421,2845,1288,4158,858,2454,1680,1.97%,44,7,1,0,0,0
1837,12,568392,23790,11397,34885,7120,24263,13314,2.01%,113,26,0,8,0,1
1838,2,2577005,112590,55028,168959,31960,105759,62021,2.14%,715,403,28,30,27,26
1838,4,677693,29469,13993,44941,8228,27870,16354,2.06%,217,267,27,19,14,6
1838,6,256587,11150,4657,15941,3125,10119,5714,1.81%,53,45,1,4,0,2
1838,8,503239,22442,9832,33192,5537,19639,11733,1.95%,101,65,0,3,1,4
1839,2,3048148,130014,60052,202409,36139,125307,70203,1.97%,503,2506,22,44,17,16
1839,4,790013,31703,16475,51638,9436,32022,18592,2.09%,151,1461,6,11,10,2
1839,6,631997,28208,12853,42915,7521,26566,14262,2.03%,102,14,1,3,1,1
1839,8,857511,36478,16862,58701,10469,34783,19689,1.97%,118,124,3,22,6,3
1840,2,3246925,136064,65919,212810,37540,130797,74157,2.03%,830,1861,296,48,21,34
1840,4,622531,25012,12984,40380,6999,25453,14440,2.09%,207,803,7,17,5,7
1840,6,693241,29028,14391,43769,8462,27173,15809,2.08%,255,609,36,18,6,4
1840,8,378964,16106,7495,23953,4383,15138,9002,1.98%,184,11,1,3,2,1
1841,2,2510611,111788,51623,163728,32964,101951,61240,2.06%,826,2055,37,91,32,6
1841,4,600679,25968,12026,38821,7305,23057,13931,2.00%,137,128,12,35,5,0
1841,6,604399,27476,12743,41481,8370,25838,14394,2.11%,177,974,9,19,6,2
1841,8,180946,8450,3684,11883,2486,7331,4636,2.04%,68,537,11,9,3,0
1841,10,260956,11520,5316,16325,3831,10279,7057,2.04%,106,394,5,16,10,0
1842,2,3571980,151315,77742,227803,48879,147003,87233,2.18%,1121,9179,494,432,75,14
1842,4,1043279,43978,21799,68008,13281,42641,23216,2.09%,181,1912,141,74,7,9
1842,6,937056,39285,20938,59070,12920,39549,23258,2.23%,221,462,27,232,45,5
1842,8,680221,28641,15275,43516,9529,28236,17892,2.25%,277,1228,48,52,15,0
1843,2,3538615,157637,76460,233370,44717,146123,87337,2.16%,811,4247,282,108,43,26
